"amazon link","i.s.b.n.","theatrical debut","title"
"B000A8JHPQ","","","The Big Steal"
"B00005NQFN","","2001-01-01 02:00:00 +1300","Bill Bailey - Bewilderness"
"B000B8TJ3K","","","Bill Bailey - Cosmic Jam"
"B0002SDY1M","","1997-10-20 03:00:00 +1300","Bill Bailey - Part Troll"
"B001FDT96M","","2008-01-01 02:00:00 +1300","Bill Bailey - Tinselworm"
"B0029F1H6U","","2009-01-01","Bill Bailey's Remarkable Guide To The Orchestra"
"B000F5YYCK","","","Black Books Complete Box Set"
"B002BWP3WA","","2009-01-01 02:00:00 +1300","Black Dynamite [Blu-ray]"
"B000TJ6PB0","","2006-01-01 02:00:00 +1300","Black Sheep"
"B000B35PQK","","","Blind Flight"
"B000MZHW40","","2006-12-08 02:00:00 +1300","Blood Diamond"
"B00005LC4P","0783261136","1985-01-18 02:00:00 +1300","Blood Simple"
"B00008DDHZ","0792186907","2002-01-01 02:00:00 +1300","Bloody Sunday"
"B000053W52","","1980-06-20 02:00:00 +1200","The Blues Brothers"
"B000SK5Z2A","","2006-01-01 02:00:00 +1300","Bobby Z"
"B000PAAJZ6","","1997-10-10 03:00:00 +1300","Boogie Nights"
"B000IY04Q8","","2000-01-01 02:00:00 +1300","Boondock Saints"
"B002UNMW7O","","2009-01-01 00:00:00 +1300","The Boondock Saints II: All Saints Day"
"0767802470","0767802470","1982-02-10 02:00:00 +1300","Das Boot - The Director's Cut"
"B000MMMT9G","","2006-11-03 02:00:00 +1300","Borat - Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"
"0767821408","0767821408","1996-02-21 02:00:00 +1300","Bottle Rocket"
"B00006AG8D","0790773058","1988-05-08 02:00:00 +1200","The Bourne Identity"
"B000VWYJ86","","2007-12-11 02:00:00 +1300","The Bourne Ultimatum"
"B00008DDVV","","2002-01-01 02:00:00 +1300","Bowling for Columbine"
"B000W8OM5Y","","1995-05-24 02:00:00 +1200","Braveheart"
"0783225903","0783225903","1985-12-18 02:00:00 +1300","Brazil"
"B000OYAT3U","","2007-02-16 02:00:00 +1300","Breach"
"B002P7UCJ0","","2009-01-01 02:00:00 +1300","Bruno"
"B000YAF4MA","","2007-12-25 02:00:00 +1300","The Bucket List"
"B001JIE7JC","","2008-01-01 02:00:00 +1300","Burn After Reading"
"B0001Z52RU","0780647998","2004-01-23 02:00:00 +1300","The Butterfly Effect"
"B00005Q71N","","1999-01-01 02:00:00 +1300","CKY"
"B0000CA1GT","","","CKY 4"
"B0007DFKMS","","","CKY Documentary Featuring How to Rob a House"
"B00005MGBR","","2001-01-01 02:00:00 +1300","CKY2K"
"B00009Y3L4","0790782227","1972-02-13 01:00:00 +1200","Cabaret"
"B00000F7E6","","2005-01-01 02:00:00 +1300","Cache"
"B00004CYRC","","1980-07-25 02:00:00 +1200","Caddyshack"
"B00004U28G","0783116969","1981-06-19 02:00:00 +1200","The Cannonball Run"
"B0030Y11XS","","2009-01-01 00:00:00 +1300","Capitalism: A Love Story"
"B000E33VWW","","2005-01-01 02:00:00 +1300","Capote"
"B0000SXK0Y","","2002-01-01 02:00:00 +1300","Capturing the Friedmans"
"B000MNP2KI","","2006-11-17 02:00:00 +1300","Casino Royale"
"B00005V9IJ","","2000-12-22 02:00:00 +1300","Cast Away"
"B00001U0DW","","1999-05-07 02:00:00 +1200","The Castle"
"","","","Cat Ladies"
"B001NFNFNU","","2008-01-01 02:00:00 +1300","Changeling"
"B00003CX9D","0788815482","1997-01-01 02:00:00 +1300","Chasing Amy: The Criterion Collection"
"B000N6TX1I","","2007-01-05 02:00:00 +1300","Children of Men"
"B001O2UTQS","","2008-01-01 02:00:00 +1300","Choke"
"B00026L9BQ","0783129319","2004-04-17 02:00:00 +1200","Chris Rock - Never Scared"
"B00003CWNR","0788818368","1999-01-01 02:00:00 +1300","The Cider House Rules"
"B00003CX9E","0780635205","1941-01-01 02:00:00 +1200","Citizen Kane"
"B0000D9PNX","","2002-01-01 02:00:00 +1300","City of God"
"B0000687G0","","2001-01-01 02:00:00 +1300","Cky 3"
"B0002DRDBE","","1994-10-19 03:00:00 +1300","Clerks"
"B000I0RNVQ","","2006-07-21 02:00:00 +1200","Clerks II"
"B000UJ48T0","","1972-02-02 01:00:00 +1200","A Clockwork Orange"
"B0007OCG4W","1404954953","2004-12-03 02:00:00 +1300","Closer"
"B002LE8MGW","","2009-09-25 00:00:00 +1200","Coco Before Chanel"
"B0002I83Z4","","2003-01-01 02:00:00 +1300","Coffee and Cigarettes"
"B00005JN2Z","1417010789","2004-08-06 02:00:00 +1200","Collateral"
"B001D07QG2","","","A Complete History Of My Sexual Failures"
"B0009XRZ92","0767085515","1982-06-25 02:00:00 +1200","The Complete Monty Python's Flying Circus 16-Ton Megaset"
"0790733226","0790733226","1997-07-11 02:00:00 +1200","Contact"
"B0019UGYK0","","1967-01-01 02:00:00 +1200","Cool Hand Luke"
"B0007DBJM8","","2004-06-04 02:00:00 +1200","The Corporation"
"","","","Couples Retreat"
"B000A3XY5A","","2005-05-06 02:00:00 +1200","Crash"
"B0002HO7A0","","1986-04-25 02:00:00 +1200","Crimewave"
"B000060NYL","","1995-05-12 02:00:00 +1200","Crimson Tide]"
"B000ELL1RG","","1995-04-28 02:00:00 +1200","Crumb"
"B0006FO9BK","","1992-11-25 02:00:00 +1300","The Crying Game"
"6305238065","6305238065","1997-01-01 02:00:00 +1300","Cube"
"B00008DDVY","1588177319","2003-04-15 02:00:00 +1200","Cube 2 - Hypercube"
"B0000E2PVR","0783121717","2000-10-15 02:00:00 +1300","Curb Your Enthusiasm - The Complete First Season"
"B0001US8EE","0783128436","2000-10-15 02:00:00 +1300","Curb Your Enthusiasm - The Complete Second Season"
